latitude,longitude,name
50.71038,-2.761913,Bridport Arms
50.710983,-2.442443,Dorchester West Train Station
50.711993,-1.981253,RNLI Poole Lifeboat Museum
50.712193,-1.989048,The Quay
50.712215,-1.986564,The Quay
50.712239,-1.986396,Oriel Cafe Restaurant
50.712255999999996,-1.989065,The Customs House
50.712292,-1.985773,The Lord Nelson
50.712309,-1.985443,The Fish Shambles
50.71246,-3.714025,Great Fulford House
50.712472,-1.989474,King Charles Inn
50.712529,-1.989171,Sarum Street
50.712571,-1.989899,St Clements Lane
50.712582,-1.9927840000000001,Poole Lifting Bridge
50.712795,-1.988825,Scaplens Court
50.71284,-2.441299,Borough Gardens
50.712863,-1.988374,The Antelope Hotel
50.713157,-1.989941,Poole House
50.7135,-1.989782,St James Church
50.713633,-1.983739,United Reformed Church
50.713673,-1.98846,St Georges Almshouses
50.713689,-2.432264,All Saints Road
50.713704,-3.550201,Bowhill House
50.71418,-1.987642,The Crown Hotel
50.714449,-1.989698,Jolliffe House
50.71472,-1.98719,The Guildhall
50.714745,-2.443576,The Keep Military Museum
50.714788,-2.43716,The Oak Room
50.714958,-2.4404690000000002,Wessex Royale Hotel
50.71496,-2.436841,The Antelope Walk
50.715162,-2.438777,The Old Ship Inn
50.715204,-2.441482,Thomas Hardy Statue
50.715264,-2.437521,The Turquoise Kitchen
50.715339,-2.439082,Shire Hall Historic Courthouse Museum
50.715365,-1.308324,HMP Parkhurst
50.715423,-1.986751,The Blue Boar
50.715479,-2.437014,St Peters Church
50.715577,-2.434297,Icen Way
50.715653,-2.435091,Goldies
50.71574,-1.984085,High Street
50.71668,-3.540917,Cowick Street
50.716963,-3.530352,Piazza Terracina
50.717548,-3.494532,St Loyes Chapel
50.718003,-2.251178,Clouds Hill
50.7183,-2.4048,Kingston Maurward
50.718576,-3.530792,The Prospect Inn
50.718868,-3.53161,Custom House Visitors Centre
50.719486,-1.983325,Poole Railway Station
50.720001,-1.968628,Poole War Memorial
50.720086,-3.526679,Hotel du Vin
50.72014,-3.529825,Site of Southgate Prison
50.720368,-3.526482,Magdalen Street
50.720409,-3.500353,Heavitree Park
50.720446,-3.528508,Mercure Exeter Southgate Hotel
50.72052,-1.968946,Earl Mountbatten Monument
50.720668,-3.530462,White Hart Hotel
50.72185,-3.535097,St Nicholas Priory
50.721861,-3.509142,Livery Dole
50.721997,-3.525754,Southernhay Gardens
50.722144,-1.981576,Poole Stadium
50.722205,-3.532851,The Chevalier Inn
50.722265,-1.973157,Longfleet Road
50.722454,-3.534877,No18Apartments
50.722524,-3.529897,Cathedral Of St Peter
50.722539,-3.53731,St Bartholomews Cemetery
50.722717,-1.881788,Bournemouth Town Hall
50.722916,-3.531684,Pizza Express
50.722973,-3.530159,Cathedral Green
50.722976,-3.525761,Barnfield Theatre
50.723048,-3.5291,8 Cathedral Close
50.72308,-3.529331,Devon and Exeter Institution
50.723166,-3.533877,The Conservatory Restaurant
50.723186,-1.948323,The Avocet
50.723209,-3.531591,Finisterre
50.72321,-3.529522,Ask
50.72323,-3.531683,High Street
50.723276,-3.531822,The Turks Head
50.723334,-3.530419,ABode Exeter
50.723347,-3.529929,Eat On The Green
50.723387,-3.529977,Cadastre
