year,sex,name,n,rank,nation
1997,F,Kayleigh,1140,50,England & Wales
1997,M,Scott,1414,50,England & Wales
1997,F,Natalie,1138,51,England & Wales
1997,M,Sean,1388,51,England & Wales
1997,F,Stephanie,1115,52,England & Wales
1997,M,Dylan,1380,52,England & Wales
1997,F,Katherine,1077,53,England & Wales
1997,M,Dominic,1359,53,England & Wales
1997,F,Phoebe,1071,54,England & Wales
1997,M,Louis,1325,54,England & Wales
1997,F,Abbie,1067,55,England & Wales
1997,M,Rhys,1291,55,England & Wales
1997,F,Lydia,1062,56,England & Wales
1997,M,Nicholas,1274,56,England & Wales
1997,F,Gemma,1053,57,England & Wales
1997,M,Max,1244,57,England & Wales
1997,F,Jodie,1021,58,England & Wales
1997,M,Henry,1241,58,England & Wales
1997,F,Harriet,1000,59,England & Wales
1997,M,Tyler,1158,59,England & Wales
1997,F,Francesca,975,60,England & Wales
1997,M,Ross,1150,60,England & Wales
1997,F,Aimee,968,61,England & Wales
1997,M,Elliot,1045,61,England & Wales
1997,F,Jennifer,938,62,England & Wales
1997,M,Ethan,1037,62,England & Wales
1997,F,Kirsty,898,63,England & Wales
1997,M,Mark,1028,63,England & Wales
1997,F,Kate,892,64,England & Wales
1997,M,Conor,1024,64,England & Wales
1997,M,Peter,1024,64,England & Wales
1997,F,Hayley,877,65,England & Wales
1997,F,Ellen,866,66,England & Wales
1997,M,Stephen,976,66,England & Wales
1997,F,Hollie,858,67,England & Wales
1997,M,Patrick,962,67,England & Wales
1997,F,Ashleigh,857,68,England & Wales
1997,F,Daisy,857,68,England & Wales
1997,M,Anthony,948,68,England & Wales
1997,M,Declan,942,69,England & Wales
1997,F,Rosie,818,70,England & Wales
1997,M,Billy,885,70,England & Wales
1997,F,Alisha,816,71,England & Wales
1997,M,Richard,880,71,England & Wales
1997,F,Sian,760,72,England & Wales
1997,M,Jason,844,72,England & Wales
1997,M,Lee,844,72,England & Wales
1997,F,Bethan,750,73,England & Wales
1997,F,Catherine,736,74,England & Wales
1997,M,Owen,813,74,England & Wales
1997,F,Lily,721,75,England & Wales
1997,M,Joel,809,75,England & Wales
1997,F,Mollie,677,76,England & Wales
1997,M,Paul,806,76,England & Wales
1997,F,Isobel,651,77,England & Wales
1997,M,Shane,776,77,England & Wales
1997,F,Heather,645,78,England & Wales
1997,M,Toby,762,78,England & Wales
1997,F,Rachael,643,79,England & Wales
1997,M,Harrison,760,79,England & Wales
1997,M,Steven,760,79,England & Wales
1997,F,Demi,633,80,England & Wales
1997,F,Yasmin,628,81,England & Wales
1997,M,Mitchell,759,81,England & Wales
1997,F,Kelly,621,82,England & Wales
1997,M,Aidan,732,82,England & Wales
1997,F,Kathryn,619,83,England & Wales
1997,M,Shaun,708,83,England & Wales
1997,F,Alicia,606,84,England & Wales
1997,M,Jay,691,84,England & Wales
1997,F,Naomi,603,85,England & Wales
1997,M,Curtis,675,85,England & Wales
1997,F,Niamh,591,86,England & Wales
1997,F,Rhiannon,591,86,England & Wales
1997,M,Mohammad,658,86,England & Wales
1997,M,Elliott,637,87,England & Wales
1997,F,Millie,584,88,England & Wales
1997,M,Marcus,621,88,England & Wales
1997,F,Mia,583,89,England & Wales
1997,M,Josh,595,89,England & Wales
1997,F,Robyn,568,90,England & Wales
1997,M,Corey,584,90,England & Wales
1997,F,Sophia,566,91,England & Wales
1997,M,Craig,575,91,England & Wales
